index,PLAYER_NAME,PPP,GAME_COUNT
350,Marcin Gortat,0.834412946,55
182,Goran Dragic,0.834009067,42
408,Patrick Patterson,0.832214325,87
309,Kevin Knox II,0.830107236,75
455,Sindarius Thornwell,0.829941644,79
438,Russell Westbrook,0.828006322,79
227,James Johnson,0.827042681,63
327,Lance Stephenson,0.823028706,75
463,Svi Mykhailiuk,0.821086502,60
525,Will Barton,0.8209257,57
203,Isaiah Hicks,0.819493007,10
305,Kent Bazemore,0.819091824,67
21,Andrew Harrison,0.818621188,25
268,Jonah Bolden,0.816820262,79
208,J.J. Barea,0.815896564,39
79,Cory Joseph,0.815239926,86
508,Tyreke Evans,0.814496751,76
240,Jaylen Morris,0.81443299,14
410,Pau Gasol,0.812310211,45
167,Frank Mason,0.811992797,80
205,Ish Smith,0.81104628,60
118,Dennis Smith Jr.,0.810803592,55
108,DeAndre' Bembry,0.810409504,82
31,Avery Bradley,0.809397608,66
281,Josh Jackson,0.806020823,79
277,Jordan McRae,0.804348984,42
304,Kenrich Williams,0.804331937,54
194,Ian Clark,0.803078128,80
347,Malik Monk,0.802624293,82
273,Jonathon Simmons,0.801616729,85
434,Rondae Hollis-Jefferson,0.801311823,76
324,Kyle O'Quinn,0.800763009,85
454,Shelvin Mack,0.79982503,79
67,Chasson Randle,0.799702788,52
51,Bruce Brown,0.79934346,85
490,Treveon Graham,0.795919684,55
140,Dragan Bender,0.79552221,82
185,Grayson Allen,0.795031988,65
319,Kris Dunn,0.792247695,48
317,Kosta Koufos,0.789884929,66
509,Tyrone Wallace,0.789614243,88
186,Greg Monroe,0.789567612,74
377,Milos Teodosic,0.789104902,36
188,Hamidou Diallo,0.786646189,75
193,Henry Ellenson,0.78568554,34
362,Matthew Dellavedova,0.785002907,62
355,Mario Hezonja,0.782259131,73
130,Dillon Brooks,0.781897259,20
59,Cameron Payne,0.78134118,47
486,Tony Parker,0.780592391,64
34,Ben McLemore,0.777603528,38
80,Courtney Lee,0.77445611,56
335,Lonzo Ball,0.773060433,47
141,Draymond Green,0.771880795,88
127,Devonte' Graham,0.768156855,64
480,Tim Frazier,0.765256399,89
343,Malachi Richardson,0.765180396,42
383,Moritz Wagner,0.764595386,71
154,Elfrid Payton,0.759187782,46
155,Elie Okobo,0.757524682,71
456,Skal Labissiere,0.756880423,72
334,Lonnie Walker IV,0.756640126,36
356,Markelle Fultz,0.756125118,19
7,Alex Abrines,0.753935073,42
459,Stanley Johnson,0.751400277,78
46,Brandon Goodwin,0.750130882,32
161,Eric Moreland,0.75,37
368,Michael Carter-Williams,0.748111044,54
501,Tyler Cavanaugh,0.747213779,20
106,De'Anthony Melton,0.746123943,57
238,Jaylen Adams,0.740272804,39
65,Chandler Parsons,0.737740156,42
149,Dzanan Musa,0.732141741,24
286,Julian Washburn,0.729081437,24
407,Patrick McCaw,0.724721691,51
223,Jamal Crawford,0.721850988,76
523,Wesley Johnson,0.714640022,79
482,Timothe Luwawu-Cabarrot,0.712653434,74
420,Ray Spalding,0.705624764,28
476,Theo Pinson,0.704349238,41
164,Evan Turner,0.690229783,90
200,Isaiah Briscoe,0.688345291,63
314,Khyri Thomas,0.685451887,74
417,Rajon Rondo,0.685399165,51
358,Marquese Chriss,0.675521535,76
112,DeVaughn Akoon-Purcell,0.668981481,24
85,DJ Stephens,0.666666667,13
365,Melvin Frazier Jr.,0.659128101,43
86,Dairis Bertans,0.653463203,14
250,Jerryd Bayless,0.637251115,51
234,Jarred Vanderbilt,0.636050975,44
279,Jose Calderon,0.634334472,70
512,Udonis Haslem,0.631870781,82
433,Ron Baker,0.628105163,36
23,Anfernee Simons,0.609609475,58
168,Frank Ntilikina,0.606079148,47
516,Wade Baldwin IV,0.603051833,44
152,Edmond Sumner,0.597223492,52
531,Yuta Watanabe,0.590367777,36
91,Daniel Hamilton,0.56966344,33
419,Rawle Alkins,0.567782042,20
216,Jacob Evans,0.565937193,70
439,Ryan Anderson,0.563158399,76
336,Lorenzo Brown,0.562288219,42
251,Jevon Carter,0.559397536,56
403,PJ Dozier,0.551612903,13
119,Deonte Burton,0.551134342,51
43,Bonzie Colson,0.543691219,14
175,Gary Trent Jr.,0.540580433,39
69,Chimezie Metu,0.500063679,50
413,Quincy Acy,0.45313045,10
230,Jared Terrell,0.448276485,29
58,Caleb Swanigan,0.410809968,55
12,Alize Johnson,0.388272518,25
198,Isaac Bonga,0.387950631,35
385,Naz Mitrou-Long,0.306508165,28
137,Donte Grantham,0,10
