,level_0,index,PLAYER_NAME,player_impact_estimate,GAME_COUNT
304,304,81,Cristiano Felicio,5.16476832,81
305,305,367,Michael Beasley,5.104739105,46
306,306,145,Dwayne Bacon,5.050664691,68
307,307,190,Harry Giles III,5.032312828,70
308,308,197,Iman Shumpert,5.009877968,83
309,309,282,Josh Okogie,4.926634698,82
311,311,162,Ersan Ilyasova,4.913406561,86
312,312,442,Salah Mejri,4.910935961,75
313,313,179,Gerald Green,4.905414653,89
314,314,225,James Ennis III,4.903016301,74
315,315,269,Jonas Jerebko,4.879603193,101
316,316,461,Sterling Brown,4.856824478,85
317,317,535,Zaza Pachulia,4.856705374,82
318,318,391,Nik Stauskas,4.810644004,78
319,319,528,Wilson Chandler,4.781709295,60
320,320,165,Frank Jackson,4.776544451,76
321,321,250,Jerryd Bayless,4.771690158,51
322,322,132,Dirk Nowitzki,4.73304959,53
324,324,266,Johnathan Williams,4.73078495,32
325,325,29,Aron Baynes,4.718461086,61
326,326,139,Doug McDermott,4.718217468,81
328,328,99,Darius Miller,4.699694684,75
329,329,488,Torrey Craig,4.698664348,95
330,330,248,Jerian Grant,4.686806618,87
332,332,277,Jordan McRae,4.654065642,42
333,333,28,Antonio Blakeney,4.593685704,80
334,334,497,Troy Brown Jr.,4.546746068,72
335,335,500,Troy Williams,4.53175972,29
336,336,448,Seth Curry,4.517458049,94
337,337,155,Elie Okobo,4.516098004,71
338,338,299,Keita Bates-Diop,4.460744128,57
339,339,273,Jonathon Simmons,4.45825221,85
340,340,167,Frank Mason,4.457406573,80
341,341,415,Quinn Cook,4.454589488,104
342,342,87,Damian Jones,4.448835882,29
343,343,519,Wayne Selden,4.447981985,80
344,344,503,Tyler Dorsey,4.430081696,69
345,345,48,Brandon Knight,4.412896756,53
346,346,84,D.J. Wilson,4.384051832,71
347,347,348,MarShon Brooks,4.375240476,37
349,349,43,Bonzie Colson,4.309594263,14
350,350,96,Dante Exum,4.308689457,43
351,351,418,Raul Neto,4.305276847,49
352,352,30,Austin Rivers,4.295626257,89
353,353,397,OG Anunoby,4.254263803,72
354,354,374,Mike Scott,4.232223237,92
355,355,92,Daniel Theis,4.220332054,84
356,356,27,Anthony Tolliver,4.200576292,82
357,357,474,Thabo Sefolosha,4.197373001,71
358,358,317,Kosta Koufos,4.17888381,66
359,359,80,Courtney Lee,4.17587116,56
360,360,263,John Jenkins,4.171347668,32
361,361,267,Jon Leuer,4.151305484,74
362,362,211,JR Smith,4.122290085,14
363,363,522,Wes Iwundu,4.116870759,87
364,364,78,Corey Brewer,4.109805256,37
365,365,127,Devonte' Graham,4.093384748,64
366,366,20,Andrew Bogut,4.062634521,33
367,367,487,Tony Snell,4.00779692,96
368,368,170,Furkan Korkmaz,4.002245983,68
369,369,476,Theo Pinson,3.992795119,41
370,370,186,Greg Monroe,3.954674416,74
371,371,466,TJ Leaf,3.940536117,83
372,372,387,Nene,3.922386984,74
374,374,125,Devin Harris,3.907878265,72
375,375,89,Damion Lee,3.883139929,45
376,376,95,Dante Cunningham,3.869094067,88
377,377,324,Kyle O'Quinn,3.832513808,85
